show_id,title,type,country,rating,listed_in,description
s77,Yowamushi Pedal,TV Show,Japan,TV-14,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
s155,Kuroko's Basketball,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, Teen TV Shows","Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
s220,EDENS ZERO,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother."
s266,Rascal Does Not Dream of Bunny Girl Senpai,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai."
s292,SHAMAN KING,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."
s339,Hunter X Hunter (2011),TV Show,Japan,TV-14,"Anime Series, International TV Shows","To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."
s454,BEASTARS,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst."
s494,RESIDENT EVIL: Infinite Darkness,TV Show,"United States, Japan",TV-MA,"Anime Series, TV Horror, TV Thrillers","Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."
s628,The Daily Life of the Immortal King,TV Show,China,TV-14,"Anime Series, International TV Shows, Teen TV Shows","Having vanquished a powerful demon at age six, precocious wizard Wang Ling must now navigate high school life as an ordinary teen."
s632,The Seven Deadly Sins,TV Show,Japan,TV-14,"Anime Series, International TV Shows","When a kingdom is taken over by tyrants, the deposed princess begins a quest to find a disbanded group of evil knights to help take back her realm."
s738,Trese,TV Show,"Philippines, Singapore, Indonesia",TV-MA,"Anime Series, Crime TV Shows, TV Horror","In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing."
s779,Attack on Titan,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."
s804,Ouran High School Host Club,TV Show,Japan,TV-PG,"Anime Series, Romantic TV Shows, Teen TV Shows","New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school."
s844,JoJo's Bizarre Adventure,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.
s891,Castlevania,TV Show,United States,TV-MA,"Anime Series, TV Horror, TV Thrillers",A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.
s1041,Durarara!!,TV Show,Japan,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh."
s1045,High-Rise Invasion,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, TV Thrillers","High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey."
s1052,Sonic X,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth."
s1085,Heaven Official's Blessing,TV Show,China,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods."
s1092,The Way of the Househusband,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband."
s1150,Yu-Gi-Oh!,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."
s1169,DOTA: Dragon's Blood,TV Show,United States,TV-MA,Anime Series,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.
s1187,B: The Beginning,TV Show,Japan,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
s1239,Pacific Rim: The Black,TV Show,"United States, Australia",TV-14,Anime Series,"After Kaiju ravage Australia, two siblings pilot a Jaeger to search for their parents, encountering new creatures, seedy characters and chance allies."
s1258,TIGER & BUNNY,TV Show,Japan,TV-14,"Anime Series, International TV Shows","In an alternate New York City protected by a band of superheroes called NEXT, veteran Wild Tiger is forced to team up with rookie Barnaby Brooks Jr."
s1386,Demon Slayer: Kimetsu no Yaiba,TV Show,Japan,TV-14,"Anime Series, International TV Shows","After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."
s1433,The Idhun Chronicles,TV Show,Spain,TV-14,"Anime Series, International TV Shows, Spanish-Language TV Shows","A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder."
s1539,Marvel Anime: Wolverine,TV Show,"United States, Japan",TV-14,"Anime Series, International TV Shows","Logan, aka mutant X-Man Wolverine, is on a quest to reclaim the love of his life – whose crime lord father is planning an arranged marriage for her."
s1540,Marvel Anime: X-Men,TV Show,Japan,TV-14,"Anime Series, International TV Shows","A year after their dissolution, the X-Men are re-assembled by Professor Charles Xavier to investigate the kidnapping of young mutants in Japan."
s1650,Great Pretender,TV Show,Japan,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","Supposedly Japan's greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook."
s1694,Beyblade Burst Rise,TV Show,Japan,TV-Y,"Anime Series, Kids' TV","After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace."
s1725,Bakugan: Battle Planet,TV Show,"Japan, Canada, United States",TV-PG,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
s1791,Blood of Zeus,TV Show,United States,TV-MA,Anime Series,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
s1909,Food Wars!: Shokugeki no Soma,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, Teen TV Shows","Young chef Soma enters the prestigious Totsuki Culinary Academy, where he must emerge victorious in over-the-top cooking battles or face expulsion."
s1919,Sword Art Online,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies – but a dark twist emerges.
s1929,Black Butler,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as he's watched over by his demon butler, Sebastian."
s2063,Blue Exorcist,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor."
s2067,Erased,TV Show,Japan,TV-14,"Anime Series, International TV Shows, TV Thrillers","Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past, he has a chance to save his murdered classmates."
s2079,The Promised Neverland,TV Show,Japan,TV-14,"Anime Series, International TV Shows, TV Thrillers","When three gifted kids learn that their isolated orphanage isn’t the haven they thought, they vow to lead the other children in a risky escape plan."
s2090,Aggretsuko,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work."
s2137,Zoids Wild,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV",A quest for freedom and legendary treasure begins when a cheerful young adventurer follows his father's footsteps to become the greatest Zoids hunter.
s2176,Nagi-Asu: A Lull in the Sea,TV Show,Japan,TV-14,"Anime Series, Romantic TV Shows, Teen TV Shows","In a world where humans are divided between the land and the sea, four childhood friends from the ocean must attend middle school on the surface."
s2181,Toradora!,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","Menacing in appearance but gentle at heart, Ryūji forms an unlikely friendship with Taiga, a tiny girl with a sharp tongue and a tough attitude."
s2193,Transformers: War For Cybertron Trilogy,TV Show,United States,TV-Y7,Anime Series,"As the Autobots and Decepticons ravage their planet in a brutal civil war, two iconic leaders emerge in the Transformers universe's origin story."
s2254,Japan Sinks: 2020,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","After catastrophic earthquakes devastate Japan, one family's resolve is tested on a journey of survival through the sinking archipelago."
s2321,BNA,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Morphed into a raccoon beastman, Michiru seeks refuge, and answers, with the aid of wolf beastman Shirou inside the special zone of Anima-City."
s2400,ONE PIECE,TV Show,Japan,TV-14,Anime Series,Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.
s2427,BAKI,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on."
s2445,Cardcaptor Sakura,TV Show,Japan,TV-Y7,"Anime Series, International TV Shows","After a young girl breaks the seal of a magical book, releasing the spirits of the cards inside, she must become a ""Cardcaptor"" and retrieve them."
s2450,Megalobox,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Created for the 50th anniversary of manga ""Ashita No Joe,"" mechanized human fighters known as Megalo Boxers battle each other for boxing supremacy."
s2463,Dorohedoro,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat."
s2526,Parasyte: The Maxim,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, TV Horror","A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand."
s2587,Monthly Girls' Nozaki Kun,TV Show,Japan,TV-PG,"Anime Series, Romantic TV Shows",Art imitates life when Chiyo discovers her crush is a famous artist who wants to use their budding relationship as inspiration for his romantic manga.
s2599,DRIFTING DRAGONS,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Dragons are on the menu as the crew of the airship Quin Zaza sets out on a hunt. If they fail, empty stomachs will be the least of their worries."
s2646,Ghost in the Shell: SAC_2045,TV Show,"Japan, United States",TV-14,"Anime Series, Crime TV Shows, International TV Shows","After a global financial crisis, the world is engulfed in an AI-driven ""sustainable war."" It's up to Section 9 to counter new forms of cyber threats."
s2659,Bleach,TV Show,Japan,TV-14,"Anime Series, International TV Shows","After teenager Ichigo Kurosaki acquires superpowers from wounded soul reaper Rukia Kuchiki, the two of them join forces to round up lost souls."
s2699,Hi Score Girl,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","A chronic gamer abysmally inept in academics and sports finally meets his match at his usual shady arcade – and it’s his rich classmate, Akira."
s2741,Saint Seiya,TV Show,Japan,TV-14,Anime Series,A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.
s2789,Dino Girl Gauko,TV Show,"United States, Japan",TV-Y7,"Anime Series, Kids' TV","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents."
s2855,Akame ga Kill!,TV Show,Japan,TV-14,"Anime Series, Crime TV Shows, International TV Shows","Tatsumi sets out on a journey to help his poor village. When he's rescued by a band of assassins, he joins their fight against the corrupt government."
s2946,Cagaster of an Insect Cage,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother."
s2959,Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Lovable goof Bell Cranel wants an adventure, and when he meets the diminutive goddess Hestia, he gets much more than he bargained for."
s2966,No Game No Life,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",Legendary gamer siblings Sora and Shiro are transported to a world where life is a series of games and humanity is in grave danger of extinction.
s2967,Pop Team Epic,TV Show,Japan,TV-14,"Anime Series, International TV Shows",This animated adaptation of the quirky four-panel comic brings the random exploits of Popuko and Pipimi to life.
s2999,​SAINT SEIYA: Knights of the Zodiac,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
s3021,Soul Eater,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Maka and the other students at the Death Weapon Meister Academy must kill 99 evil humans and one witch, absorbing their spirits when they die."
s3056,Cells at Work!,TV Show,Japan,TV-PG,"Anime Series, Teen TV Shows","One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!"
s3089,The Disastrous Life of Saiki K.: Reawakened,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now."
s3104,CAROLE & TUESDAY,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, Teen TV Shows","Part-timer Carole meets rich girl Tuesday, and each realizes they've found the musical partner they need. Together, they just might make it."
s3138,Girls und Panzer,TV Show,Japan,TV-PG,"Anime Series, International TV Shows",Miho Nishizumi tries to escape her family's tradition of tankery by enrolling at a new high school. Instead she gets back into the sport with friends.
s3174,Teasing Master Takagi-san,TV Show,Japan,TV-PG,"Anime Series, International TV Shows, Romantic TV Shows","Teased constantly by classmate Takagi-san, middle-schooler Nishikata swears payback by trying (and failing) to give her a dose of her own medicine."
s3220,Levius,TV Show,Japan,TV-14,"Anime Series, International TV Shows",Young Levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. Forces outside the ring have their eye on him.
s3272,K-On!,TV Show,Japan,TV-PG,"Anime Series, Teen TV Shows","When they're not gorging themselves on sugary snacks, four aspiring high school musicians crank out catchy tunes as members of the Light Music Club."
s3334,CLANNAD,TV Show,Japan,TV-PG,"Anime Series, Teen TV Shows",Maladjusted high school student Tomoya's life begins to change when he befriends his classmate Nagisa and several other eccentric girls.
s3337,Haikyu!!,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Teen TV Shows","Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height."
s3340,"Love, Chunibyo & Other Delusions!",TV Show,Japan,TV-PG,"Anime Series, Romantic TV Shows, Teen TV Shows","High schooler Yuta wants to leave his past as a delusional weirdo behind. But his classmate Rikka has her own delusions, and she's interested in his."
s3341,Maid-Sama!,TV Show,Japan,TV-14,"Anime Series, Romantic TV Shows","To keep the boys in line, student council president Misaki runs the school with an iron fist – while secretly working as a waitress at a maid café."
s3342,Mobile Suit Gundam: Iron-Blooded Orphans,TV Show,Japan,TV-14,"Anime Series, International TV Shows","On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government."
s3356,KENGAN ASHURA,TV Show,"United States, Japan",TV-MA,"Anime Series, International TV Shows","Ohma Tokita enters a hidden world where corporate disputes are settled in brutal gladiator bouts. Forget the money, he just wants to fight – and win."
s3438,Ultramarine Magmell,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Decades after the sudden birth of a new continent, a young rescuer-for-hire provides aid to adventurers exploring this dangerous, uncharted world."
s3458,Seis Manos,TV Show,United States,TV-MA,"Anime Series, Crime TV Shows","Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice."
s3520,Kabaneri of the Iron Fortress: The Battle of Unato,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, TV Horror","Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
s3542,Naruto,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series."
s3589,Cannon Busters,TV Show,"United States, Japan",TV-MA,"Anime Series, International TV Shows",Immortal renegade Philly the Kid and his transforming pink Cadillac join a relentlessly upbeat friendship droid on her quest to find a missing prince.
s3664,Angel Beats!,TV Show,Japan,TV-PG,"Anime Series, International TV Shows","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world."
s3665,Anohana: The Flower We Saw That Day,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Teen TV Shows",A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.
s3666,God Eater,TV Show,Japan,TV-14,"Anime Series, International TV Shows",An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.
s3667,GRANBLUE FANTASY the Animation,TV Show,Japan,TV-PG,"Anime Series, International TV Shows","In a world where islands float in the sky, Gran encounters a mysterious girl wanted by the Erste Empire for her ability to summon Primal Beasts."
s3697,Record of Grancrest War,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace."
s3717,Forest of Piano,TV Show,Japan,TV-14,"Anime Series, International TV Shows",Kai grows up playing an old piano discarded in the woods; Shuhei's father is a famous pianist. Their chance meeting transforms their lives and music.
s3724,Magi: The Labyrinth of Magic,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",A land of mysterious ruins and a magical treasure hunt await young Aladdin and his courageous friend Alibaba for the adventure of their lives.
s3725,Neon Genesis Evangelion,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels."
s3737,Fate/Zero,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins."
s3738,Kill la Kill,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","The ""woman with the scissor blade"" – Ryuko Matoi – searches for clues all around the world for the truth behind her father's death."
s3742,Puella Magi Madoka Magica,TV Show,Japan,TV-14,"Anime Series, International TV Shows","One day, Madoka Kaname has a very magical encounter, one that can change her destiny. This is the beginning of the new story of magical witch girls."
s3785,March Comes in Like a Lion,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Teen TV Shows","Orphaned young, a reclusive 17-year-old professional shogi player starts to come out of his shell when three sisters take him under their wing."
s3827,Revisions,TV Show,Japan,TV-14,"Anime Series, International TV Shows","When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions."
s3871,Code Geass: Lelouch of the Rebellion,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.
s3880,Ingress: The Animation,TV Show,Japan,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","After scientists discover a mysterious substance that can influence human minds, two factions wage an all-out battle to control its awesome power."
s3902,Rilakkuma and Kaoru,TV Show,"Japan, United States",TV-PG,"Anime Series, International TV Shows","Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear."
s3959,Ultraman,TV Show,"United States, Japan",TV-14,"Anime Series, International TV Shows","Decades ago, a hero from the stars left this world in peace. Now, the son of Ultraman must rise to protect the Earth from a new alien threat."
s4064,The Disastrous Life of Saiki K.,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Teen TV Shows","High school sophomore Kusuo Saiki swore as a child that he would keep his psychic talents hidden, but his abilities still make his life difficult."
s4132,Violet Evergarden,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past."
s4145,Sword Art Online Alternative: Gun Gale Online,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",College student Karen takes up Gun Gale Online and gets a reputation as the Pink Demon. Then her gaming buddy Pitohui asks her to join the Squad Jam.
s4271,LAST HOPE,TV Show,Japan,TV-14,"Anime Series, International TV Shows","After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created."
s4275,Sirius the Jaeger,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, TV Thrillers","In imperial Tokyo, a group calling themselves ""Jaegers"" secretly hunt the vampires seeking the Ark of Sirius. Among them is young werewolf, Yuliy."
s4280,Fate/stay night: Unlimited Blade Works,TV Show,Japan,TV-14,"Anime Series, International TV Shows",High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail.
s4313,Back Street Girls -GOKUDOLS-,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene."
s4470,Fate/EXTRA Last Encore,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive."
s4532,LOST SONG,TV Show,Japan,TV-14,"Anime Series, International TV Shows","War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song."
s4629,DRAGON PILOT: Hisone & Masotan,TV Show,Japan,TV-14,"Anime Series, International TV Shows",Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
s4634,Mobile Suit Gundam UC,TV Show,Japan,TV-PG,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence."
s4745,SWORDGAI The Animation,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies."
s4839,Dinosaur King,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","Aided by tablets found near a downed meteorite, Max, Rex and Zoe race the evil Alpha Gang as they travel the globe in search of living dinosaurs."
s4863,Saint Seiya: The Lost Canvas,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",This anime adventure follows the battle between a saint of Athena and an avatar of Hades who's working on a painting that could destroy the world.
s4989,Children of the Whales,TV Show,Japan,TV-14,"Anime Series, International TV Shows","As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island."
s4992,A.I.C.O.,TV Show,Japan,TV-14,"Anime Series, International TV Shows",Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.
s5093,Devilman Crybaby,TV Show,Japan,TV-MA,"Anime Series, International TV Shows, TV Horror","With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
s5096,Fullmetal Alchemist,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Brothers Edward and Alphonse use alchemy to resurrect their mother, but they unleash a chemical reaction that tears apart their bodies."
s5097,Fullmetal Alchemist: Brotherhood,TV Show,Japan,TV-14,"Anime Series, International TV Shows",After both suffer physical damage – brothers Edward and Alphonse battle nefarious forces to try to reclaim their bodies in this supernatural anime.
s5099,Pokémon: Indigo League,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","Explore the world of Pokémon with 10-year-old Ash Ketchum and his partner, Pikachu, as they aim for Ash's ultimate goal: becoming a Pokémon master."
s5170,The Irregular at Magic High School,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Teen TV Shows","Siblings Tatsuya and Miyuki enroll at Magic High School, where Miyuki's honors status comes between her and her underachieving older brother."
s5175,Glitter Force Doki Doki,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV",Four girls summon their inner superheroes to defend Earth and the magical kingdom of Splendorius from King Mercenare and his minions.
s5179,Fate/Apocrypha,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale.
s5232,ID-0,TV Show,Japan,TV-PG,"Anime Series, International TV Shows","In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure."
s5237,Beyblade Burst,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","Middle schooler Valt Aoi, with his Beyblade Valtryek, faces off against friends, classmates and rivals to become the world's number one Blader."
s5299,Gurren Lagann,TV Show,Japan,TV-14,"Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble."
s5415,Little Witch Academia,TV Show,Japan,TV-Y7,"Anime Series, International TV Shows","Akko enrolls at the Luna Nova Witchcraft Academy. She's not the best student, but her bright attitude is the key to her and her friends' success."
s5564,One-Punch Man,TV Show,Japan,TV-14,"Anime Series, Crime TV Shows, International TV Shows","The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression."
s5610,Cyborg 009: Call of Justice,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity."
s5655,AJIN: Demi-Human,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
s5673,InuYasha,TV Show,Japan,TV-14,"Anime Series, International TV Shows","Yanked down a well, schoolgirl Kagome Higurashi emerges in feudal Japan, where she must reassemble a sacred jewel while eluding half-demon Inuyasha."
s5752,DEATH NOTE,TV Show,Japan,TV-14,"Anime Series, Crime TV Shows, International TV Shows","When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it."
s5754,Vampire Knight,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","At Cross Academy, two student disciplinary committee members are tasked with keeping the peace between a human class and a night class of vampires."
