show_id,title,type,country,rating,listed_in,description
s5808,Glitter Force,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV",Five preteen girls learn they're a legendary superhero squad known as the Glitter Force. Their mission? To defend Earth from evil fairy-tale villains.
s5835,Kuromukuro,TV Show,Japan,TV-14,"Anime Series, International TV Shows","When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai."
s5854,Cyborg 009 VS Devilman,TV Show,"Japan, United States",TV-MA,"Anime Series, International TV Shows","When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of ""Devilman"" and ""Cyborg 009"" meet."
s5864,Your lie in April,TV Show,Japan,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","After his mother's death, a piano prodigy's will to play disappears. But meeting a free-spirited girl who plays the violin turns his life around."
s6178,忍者ハットリくん,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","Hailing from the mountains of Iga, Kanzo Hattori moves in with elementary school student Kenichi Mitsuba and his family to hone his skills as a ninja."
s6292,Beyblade: Metal Fusion,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","In this anime adventure series for kids, the forces of good and evil ""blade it out,"" battling each other with enchanted spinning tops."
s6427,Case Closed,TV Show,Japan,TV-14,"Anime Series, Crime TV Shows, TV Thrillers","Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him."
s6732,Fairy Tail,TV Show,Japan,TV-MA,"Anime Series, International TV Shows","When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission."
s6902,Gunslinger Girl,TV Show,Japan,TV-14,"Anime Series, Crime TV Shows","On the surface, the Social Welfare Agency appears to help orphaned schoolgirls, but it's actually turning them into lethal agents."
s7156,K,TV Show,Japan,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","A young boy is wanted for a crime he has no recollection of committing and must go on the run, hunted by two powerful kings and their forces."
s7218,Knights of Sidonia,TV Show,Japan,TV-MA,"Anime Series, International TV Shows",A hero rises to save a world that's also a spaceship under siege by an alien threat in this original anime series based on the popular manga comic.
s7377,Magi: Adventure of Sinbad,TV Show,Japan,TV-14,"Anime Series, International TV Shows",The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.
s7589,Ninja Hattori,TV Show,Japan,TV-Y7,"Anime Series, Kids' TV","Elementary school student Kenichi Mitsuba's household gains a surprising new member: Kanzo Hattori, a mischievous but helpful young ninja."
s7628,Nura: Rise of the Yokai Clan: Demon Capital,TV Show,Japan,TV-MA,"Anime Series, Crime TV Shows","By night, teenage Rikuo becomes a form of demon called yokai, preparing to fulfill his destiny as the head of his legendary yokai clan."
s7879,Robotech,TV Show,"United States, Japan",TV-MA,Anime Series,"When a mysterious spaceship crashes in the Pacific, the people of Earth work to master the science of robotechnology and rebuild the giant fortress."
s7907,Rurouni Kenshin,TV Show,Japan,TV-14,"Anime Series, International TV Shows","A nomadic swordsman arrives at a martial arts school in Meiji-era Japan, where he lands in the middle of a conflict involving the opium trade."
s8278,The Devil Is a Part-Timer!,TV Show,Japan,TV-14,Anime Series,"Thwarted in their attempt to take over the world of Ente Isla, Satan and his general Alciel land in modern-day Tokyo, where they take on human form."
s8781,Yo-Kai Watch,TV Show,United States,TV-Y7,"Anime Series, Kids' TV","Nate frees a mythical being trapped in a magic capsule, and the two new friends have adventures with all sorts of troublesome supernatural creatures."
s8796,Yu-Gi-Oh! Arc-V,TV Show,"Japan, Canada",TV-Y7,"Anime Series, Kids' TV","Now that he's discovered the Pendulum Summoning technique, Yuya's dream of becoming the greatest ""dueltainer"" is in reach – but it won't be easy!"
s9,The Great British Baking Show,TV Show,United Kingdom,TV-14,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s33,Sex Education,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
s73,Jack Whitehall: Travels with My Father,TV Show,United Kingdom,TV-MA,"British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
s99,Octonauts: Above & Beyond,TV Show,United Kingdom,TV-Y,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
s367,Glow Up,TV Show,United Kingdom,TV-14,"British TV Shows, International TV Shows, Reality TV","In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."
s515,Cuckoo,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family."
s516,Derry Girls,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager."
s520,I AM A KILLER,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Death row inmates convicted of capital murder give a firsthand account of their crimes in this documentary series.
s524,Marcella,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Her marriage just ended and she's returning to work as a London detective after 12 years away. Is the serial killer she once investigated back, too?"
s539,The A List,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, TV Dramas","Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."
s541,The Worst Witch,TV Show,"United Kingdom, Germany",TV-G,"British TV Shows, Kids' TV","After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."
s682,They've Gotta Have Us,TV Show,United Kingdom,TV-MA,"British TV Shows, Docuseries","Powered by candid recollections from esteemed African-American entertainers, this docuseries traces the history of black cinema."
s790,Downton Abbey,TV Show,United Kingdom,TV-14,"British TV Shows, International TV Shows, TV Dramas","Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants."
s998,Life in Color with David Attenborough,TV Show,"Australia, United Kingdom",TV-PG,"British TV Shows, Docuseries, International TV Shows","Using innovative technology, this docuseries explores nature from a fresh perspective as animals use color to survive and thrive in the wild."
s1050,Ricky Zoom,TV Show,"China, United Kingdom",TV-Y,"British TV Shows, Kids' TV",Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!
s1059,Fate: The Winx Saga,TV Show,"Italy, United Kingdom",TV-MA,"British TV Shows, International TV Shows, TV Dramas","Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school."
s1126,Murder Maps,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.
s1130,Secrets of Great British Castles,TV Show,United Kingdom,TV-PG,"British TV Shows, Docuseries, International TV Shows",Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.
s1167,The Irregulars,TV Show,United Kingdom,TV-14,"British TV Shows, Crime TV Shows, International TV Shows","A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes."
s1207,Zero Chill,TV Show,United Kingdom,TV-G,"British TV Shows, Kids' TV, TV Dramas","Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy."
s1218,The One,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
s1302,Behind Her Eyes,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Dramas",A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.
s1318,Nadiya Bakes,TV Show,United Kingdom,TV-G,"British TV Shows, International TV Shows, Reality TV","Delightful cakes and heavenly breads pop from the oven as Nadiya Hussain returns to baking, her happy place, and spotlights creative kindred spirits."
s1420,Last Tango in Halifax,TV Show,United Kingdom,TV-MA,"British TV Shows, Romantic TV Shows, TV Dramas",Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.
s1428,Inside the World’s Toughest Prisons,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","Investigative journalist Paul Connolly becomes a voluntary inmate in the world's most volatile prisons, where intimidation and brutality rule."
s1481,Still Game,TV Show,United Kingdom,TV-14,"British TV Shows, Classic & Cult TV, International TV Shows","Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb."
s1507,Shaun the Sheep,TV Show,"United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland",TV-Y,"British TV Shows, Kids' TV, TV Comedies","Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley."
s1509,Timmy Time,TV Show,United Kingdom,TV-Y,"British TV Shows, Kids' TV","This delightful animated series centers on impish lamb Timmy as he enters nursery school, where he learns about sharing, responsibility and fairness."
s1528,Morphle,TV Show,Netherlands,TV-Y,"British TV Shows, Kids' TV","Little Mila turns playtime into a series of fun and educational adventures with her magical pet Morphle, who transforms into anything she dreams up!"
s1542,The Ripper,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","In the late 1970s, British police struggle to identify — let alone capture — the serial killer known throughout the world as the Yorkshire Ripper."
s1604,Alien Worlds,TV Show,United Kingdom,TV-PG,"British TV Shows, Docuseries, International TV Shows","Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets."
s1619,Octonauts,TV Show,"United States, Ireland, United Kingdom, India",TV-Y,"British TV Shows, Kids' TV",A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.
s1629,The Repair Shop,TV Show,United Kingdom,TV-PG,"British TV Shows, Reality TV",Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories.
s1699,The Crown,TV Show,"United Kingdom, United States",TV-MA,"British TV Shows, International TV Shows, TV Dramas",This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
s1848,Fireman Sam,TV Show,United Kingdom,TV-Y,"British TV Shows, Kids' TV","Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency."
s1886,Bad Boy Billionaires: India,TV Show,India,TV-14,"British TV Shows, Docuseries, International TV Shows","This investigative docuseries explores the greed, fraud and corruption that built up — and ultimately brought down — India’s most infamous tycoons."
s1992,Criminal: UK,TV Show,"United Kingdom, France, Germany, Spain",TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
s1999,Call the Midwife,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
s2007,Buddi,TV Show,"United Kingdom, China",TV-Y,"British TV Shows, Kids' TV","The Buddis bounce, spin, glide — and giggle! — through their magical world, learning new things and sharing the joy of friendship."
s2014,The Duchess,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Katherine's a single mom juggling her career, her tween daughter, her relationship with her boyfriend — and pondering getting pregnant with her ex."
s2081,Thomas and Friends,TV Show,United Kingdom,TV-Y,"British TV Shows, Classic & Cult TV, Kids' TV","This animated children's series follows the adventures of Thomas, a cheerful blue tank engine who lives on the island of Sodor."
s2086,I AM A KILLER: RELEASED,TV Show,"United Kingdom, United States",TV-MA,"British TV Shows, Crime TV Shows, Docuseries","In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes a stunning confession."
s2185,Get Even,TV Show,United Kingdom,TV-PG,"British TV Shows, Crime TV Shows, International TV Shows","In a secret act of skillful revenge, four private school classmates team up and work together to expose a string of schoolwide injustices."
s2224,Killer Women with Piers Morgan,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","Journalist Piers Morgan goes behind prison walls to speak with women convicted of shocking crimes, shedding light on what drove them to murder."
s2239,Sunny Bunnies,TV Show,Belarus,TV-Y,"British TV Shows, Kids' TV, TV Comedies","Furry little bunnies hop through wild adventures as they find solutions, fun and sometimes mischief wherever there is light."
s2306,21 Again,TV Show,United Kingdom,TV-MA,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z."
s2344,Crazy Delicious,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, Reality TV","In this competition show, daring home chefs tempt the food gods with reinvented classics and fanciful feasts in their quest to win a golden apple."
s2477,History 101,TV Show,United Kingdom,TV-14,"British TV Shows, Docuseries, International TV Shows","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries."
s2515,The Big Flower Fight,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, Reality TV","Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures."
s2531,White Lines,TV Show,"United Kingdom, Spain",TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she quickly heads down a decadent and dangerous path."
s2610,Nadiya’s Time to Eat,TV Show,United Kingdom,TV-G,"British TV Shows, International TV Shows, Reality TV","On this cooking show, Nadiya Hussain serves up delicious shortcuts, vital ingredients and fast favorites — perfect for today's time-strapped families."
s2629,The Last Kingdom,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure","As Alfred the Great defends his kingdom from Norse invaders, Uhtred – born a Saxon but raised by Vikings – seeks to claim his ancestral birthright."
s2641,After Life,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help."
s2658,Win the Wilderness,TV Show,United Kingdom,TV-14,"British TV Shows, International TV Shows, Reality TV","Six couples compete to prove they've got the survival skills to win the deed to an extraordinary home deep in the vast, rugged wilderness of Alaska."
s2737,Man Like Mobeen,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters."
s2743,Sunderland 'Til I Die,TV Show,United Kingdom,TV-MA,"British TV Shows, Docuseries, International TV Shows",This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.
s2747,The Windsors,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies",The all-too-public trials and tribulations of England's royal family are reimagined as an over-the-top comedic soap opera.
s2794,The English Game,TV Show,United Kingdom,TV-14,"British TV Shows, International TV Shows, TV Dramas",Two 19th-century footballers on opposite sides of a class divide navigate professional and personal turmoil to change the game — and England — forever.
s2795,The Letter for the King,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, TV Action & Adventure","A young knight in training contends with ancient prophecies, magical powers and fickle companions as he sets out on an epic quest to save his kingdom."
s2808,Shaun the Sheep: Adventures from Mossy Bottom,TV Show,"United Kingdom, United States, Ireland",TV-Y7,"British TV Shows, Kids' TV, TV Comedies","Clever sheep Shaun, loyal dog Bitzer and the rest of the Mossy Bottom gang cook up oodles of fun and mischief on the farm."
s2980,THE STRANGER,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","When a stranger makes a shocking claim about his wife, family man Adam Price becomes entangled in a mystery as he desperately searches for answers."
s3035,Giri / Haji,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",Family duty sends a lawman to London to look for his mob-assassin brother as a yakuza war threatens to engulf Tokyo. Trust is even tougher to find.
s3046,Dracula,TV Show,United Kingdom,TV-14,"British TV Shows, International TV Shows, TV Dramas",The Count Dracula legend transforms with new tales that flesh out the vampire's gory crimes – and bring his vulnerability into the light.
s3295,Greatest Events of WWII in Colour,TV Show,United Kingdom,TV-14,"British TV Shows, Docuseries, International TV Shows","From the attack on Pearl Harbor to D-Day, the most pivotal events of World War II come to life in this vivid docuseries featuring colorized footage."
s3307,The End of the F***ing World,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies",A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.
s3311,Meet the Adebanjos,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, TV Comedies","In South London, tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family."
s3401,Interior Design Masters,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, Reality TV",Aspiring interior designers transform a variety of spaces from dowdy to delightful as they vie for a life-changing contract with a top London hotel.
s3402,Little Baby Bum: Nursery Rhyme Friends,TV Show,United Kingdom,TV-Y,"British TV Shows, Kids' TV","Twinkle, Mia, Jacus and the rest of the Nursery Rhyme Friends perform catchy tunes for the little ones."
s3450,Creeped Out,TV Show,"United Kingdom, Canada",TV-PG,"British TV Shows, Kids' TV, TV Thrillers","A masked figure known as ""The Curious"" collects tales of dark magic, otherworldly encounters and twisted technology in this kids anthology series."
s3453,Peaky Blinders,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost."
s3503,Criminal: Germany,TV Show,Germany,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all."
s3504,Criminal: Spain,TV Show,Spain,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost."
s3544,Serial Killer with Piers Morgan,TV Show,United Kingdom,TV-14,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives."
s3547,Luo Bao Bei,TV Show,"China, United Kingdom",TV-Y,"British TV Shows, Kids' TV","A bright and spirited seven-year-old girl uses her vivid, dreamlike imagination to navigate everyday adventures alongside her real and imaginary BFFs."
s3559,Million Pound Menu,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, Reality TV",Next-gen restaurateurs get the chance to open their own pop-up eateries to impress the paying public – and a panel of discerning U.K. investors.
s3643,Another Life,TV Show,United States,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure","After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact."
s3681,Free Rein,TV Show,United States,TV-G,"British TV Shows, Kids' TV, TV Dramas","A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse."
s3751,Leila,TV Show,India,TV-MA,"British TV Shows, International TV Shows, TV Dramas","In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago."
s3775,Black Mirror,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Dramas","This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide."
s3818,White Gold,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
s3822,Dennis and Gnasher Unleashed,TV Show,United Kingdom,TV-Y,"British TV Shows, Kids' TV, TV Comedies","Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown."
s3937,Derek,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies",Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.
s3962,Pablo,TV Show,United Kingdom,TV-Y,"British TV Shows, Kids' TV","Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations."
s3970,Traitors,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Dramas","As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government."
s4015,Robozuna,TV Show,United Kingdom,TV-Y7,"British TV Shows, Kids' TV",A boy and his homemade robot enter the toughest competition in the universe while attempting to free their oppressed home from an evil empire.
s4017,Turn Up Charlie,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies",A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.
s4090,The Big Family Cooking Showdown,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, Reality TV","In this unscripted series, families passionate about food serve up their most delicious dishes for the chance to be crowned Britain's best home cooks."
s4130,Safe,TV Show,United Kingdom,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him."
s4167,Black Earth Rising,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Dramas","Adopted by a human rights attorney after the Rwandan genocide, legal investigator Kate Ashby confronts her past when she takes on war crimes cases."
s4184,The World's Most Extraordinary Homes,TV Show,United Kingdom,TV-G,"British TV Shows, Docuseries, International TV Shows",Award-winning architect Piers Taylor and actress/property enthusiast Caroline Quentin travel the world to tour unconventional homes in extreme places.
s4203,Horrid Henry,TV Show,United Kingdom,TV-Y7,"British TV Shows, Kids' TV, TV Comedies","To his family's frustration, Henry is skilled at making trouble, from babysitting pets in his bedroom to starting a shark panic at the swimming pool."
s4263,Watership Down,TV Show,"United Kingdom, Ireland, United States",TV-PG,"British TV Shows, International TV Shows, TV Action & Adventure",A warren of rabbits battles many threats on their daring journey to find a new home in this adaptation of the classic novel by Richard Adams.
s4265,People Just Do Nothing,TV Show,United Kingdom,TV-MA,"British TV Shows, TV Comedies",Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.
s4297,Flowers,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together."
s4368,Sick Note,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies","After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure."
s4502,Wanderlust,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows","Unable to revive their fading sex life after many years of marriage, a therapist and her husband decide to start dating other people."
s4509,Stunt Science,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, Reality TV","When it comes to daring stunts and outrageous pranks, we often wonder: What were they thinking? This high-octane series tries to find some answers."
s4543,Monty Python Best Bits (mostly),TV Show,United Kingdom,TV-MA,"British TV Shows, Docuseries, TV Comedies","Prominent comedians pay tribute to Monty Python's best work in this five-part series, along with selected clips of sketches."
s4550,Monty Python's Almost the Truth,TV Show,United Kingdom,TV-MA,"British TV Shows, Docuseries","The legacy of comedy group Monty Python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary."
s4552,Monty Python's Flying Circus,TV Show,United Kingdom,TV-14,"British TV Shows, Classic & Cult TV, International TV Shows","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing."
s4554,Monty Python's Personal Best,TV Show,"United States, United Kingdom",TV-MA,"British TV Shows, TV Comedies",Original members of the iconic Monty Python comedy troupe pick their all-time favorite sketches from their groundbreaking television series.
s4609,Three Wives One Husband,TV Show,United Kingdom,TV-14,"British TV Shows, International TV Shows, Reality TV","A film crew captures a year in the life of modern polygamist families at Rockland Ranch, a community for fundamentalist Mormons in the Utah desert."
s4690,The Innocents,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows",Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.
s4759,Amazing Interiors,TV Show,United Kingdom,TV-PG,"British TV Shows, International TV Shows, Reality TV","Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium."
s4778,Baby Ballroom,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, Reality TV","Step into the cutthroat world of kids' ballroom dancing, where ambitious instructors, proud parents and pint-sized performers waltz to win."
s4808,Churchill’s Secret Agents: The New Recruits,TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, Reality TV","In this history-steeped reality series, 14 contestants undergo the same rigorous four-day selection process as Britain's top-secret World War II spies."
s4810,Kiss Me First,TV Show,"United Kingdom, United States",TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.
s4942,Troy,TV Show,"United Kingdom, South Africa, Australia, United States",TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows","Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War."
